event_date,device_category,operating_system,event_name,page_location,page_referrer,firebase_screen,firebase_previous_screen,sn,sr,app_version,event_count,user_pseudo_id_count
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.voucher.399721,,HK.voucher.399721,,7.9.6,1,1
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.SR2.Overview.155296,,HK.SR2.Overview.155296,,7.9.6,1,1
2026-09-13,mobile,iOS,or_search_offer,,,HK.Photo.SR1.1,,HK.Photo.SR1.1,sr1,7.9.0,1,1
2026-09-13,mobile,iOS,user_photo_info,,,HK.SR2.Reel.photo.29250227,,HK.SR2.Reel.photo.29250227,Reel,7.17.1,1,1
2026-09-13,mobile,iOS,app_update,,,,,,,7.16.1,1,1
2026-09-13,mobile,iOS,user_bookmark_poi,,,HK.TM.success.1146456,,,Booking,7.13.0,1,1
2026-09-13,mobile,iOS,or_poi_doorPhoto,,,HK.SR2.Overview.1029802,,HK.SR2.Overview.1029802,Others,7.14.4,1,1
2026-09-13,mobile,iOS,user_bookmark_poi,,,HK.TM.success.606596,,,Booking,7.6.2,1,1
2026-09-13,mobile,iOS,or_poi_moreinfo,,,HK.SR2.Overview.840755,,HK.SR2.Overview.840755,sr2MoreInfo,7.9.5,2,1
2026-09-13,mobile,Android,or_poi_review_ok,,,HK.SR2.review.cry.39293,,,sr2reviewTab,7.14.4,1,1
2026-09-13,mobile,iOS,or_takeaway_order,,,HK.Takeaway.order.518493,,HK.Takeaway.order.518493,sr2Tab,7.16.1,1,1
2026-09-13,mobile,iOS,or_search_all_location,,,HK.Search.SR1.2,,HK.Search.SR1.2,,7.17.2,1,1
2026-09-13,mobile,iOS,poi_emenu_photo,,,HK.SR2.photo.menu.1100050,,HK.SR2.photo.menu.1100050,,7.13.2,1,1
2026-09-13,mobile,iOS,or_takeaway_order,,,HK.Takeaway.order.781986,,HK.Takeaway.order.781986,sr1,7.17.2,1,1
2026-09-13,mobile,Android,app_remove,,,,,,,7.10.3,2,2
2026-09-13,mobile,iOS,or_poi_moreinfo,,,HK.SR2.Overview.867816,,HK.SR2.Overview.867816,sr2MoreInfo,7.9.6,1,1
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.SR2.Overview.794773,,HK.SR2.Overview.794773,,7.7.1,1,1
